Erreur_détectée	Correction_proposée	Contexte	Fichier
Nymphi	Nympho	re disposition une photo*  graphie du monument de Nymphi qu'il venait de  recevoir de M. Hyde Clarke, dire	PERRROT75.txt
Hyde	Hydne	onument de Nympho qu'il venait de  recevoir de M. Hydee Clarke, directeur du chemin  de fer de Smyrne à 	PERRROT75.txt
Clarke	Clark	t de Nympho qu'il venait de  recevoir de M. Hydne Clarke directeur du chemin  de fer de Smyrne à Âïdin, me	PERRROT75.txt
Smyrne	Myrosine	de M. Hydne Clark, directeur du chemin  de fer de Smyrnene à Âïdin, membre de plusieurs  sociétés savantes	PERRROT75.txt
Âïdin	Dinan	 Clark, directeur du chemin  de fer de Myrosine à Âïdin, membre de plusieurs  sociétés savantes^ et l'un 	PERRROT75.txt
TAsie	Asie	s^ et l'un des hommes qui connais-  sent le mieux TAsieMineure, qui en étudient les  antiquités avec le p	PERRROT75.txt
Clarke	Clark	 antiquités avec le plus de zèle et d'ardeur.  M. Clarkeavait réussi à faire prendre, par un habile  photo	PERRROT75.txt
Smyrne	Myrosine	si à faire prendre, par un habile  photographe de Smyrnene, M. Svoboda, un excellent  cliché du bas-relief	PERRROT75.txt
Svoboda	Subodora	endre, par un habile  photographe de Myrosine, M. Svobodaa, un excellent  cliché du bas-relief, objet de ta	PERRROT75.txt
Clarke	Clark	aujourd'hui, avec l'autorisation de  MM. Renan et Clarke communiquer aux savants  que préoccupent ces déli	PERRROT75.txt
NTHMI	ANTHÉMIS	eproduction de l'épreuve qui     12 BAS-RELIEF DE NTHMIMIS.   nous a été confiée ; le procédé litho-photo	PERRROT75.txt
larçeurs	largeurs	iveau du bas-relief, et que  par suite toutes les larçeurs nous sont exactement  données. Il n'en est pas to	PERRROT75.txt
Clarke	Clark	tre bien difficile d'éviter ce petit défaut ;  M. Clarke nous le savons, s'est donné toutes les  peines du	PERRROT75.txt
alté	alité	ut à  fait exacts. Même en tenant compte de cette altéé-  ration, quelque légère qu'elle soit, on peut r	PERRROT75.txt
recon	recoin	té-  ration, quelque légère qu'elle soit, on peut reconn-  naître et affirmer, d'après cette image, que l	PERRROT75.txt
Kiepert	Kipper	firmer, d'après cette image, que le dessin  de M. Kiepert quoiqu'il pèche en élargissant,  en alourdissant 	PERRROT75.txt
NYMPHI	NYMPHO	igure, se rap-   (1) Planche l.     BAS-RELIEF D£ NYMPHI. 13   proche beaucoup plus de la vérité que celui	PERRROT75.txt
Texier	Exister	roche beaucoup plus de la vérité que celui de  M. Texierr (i).   Quand on a sous les yeux la photc^raphie 	PERRROT75.txt
photc	phot	de  M. Exister (i).   Quand on a sous les yeux la photcraphie que  nous reproduisons et qu'on la rapproch	PERRROT75.txt
Ghiaour	Giaour	uisons et qu'on la rapproche des deux  figures de Ghiaourkalé et de celles de Boghaz-  keui (2), on est aus	PERRROT75.txt
Boghaz	Boghead	 des deux  figures de Giaour-kalé et de celles de Boghazd-  keui (2), on est aussitôt frappé d'une ressemb	PERRROT75.txt
keui	keum	 figures de Giaour-kalé et de celles de Boghead-  keui (2), on est aussitôt frappé d'une ressemblance  q	PERRROT75.txt
ap	al	ce  qu'auraient pu contester ceux qui se seraient ap-  puyés sur le dessin de M. Texier. Malgré la dif	PERRROT75.txt
puyés	puys	u'auraient pu contester ceux qui se seraient al-  puyéssur le dessin de M. Texier. Malgré la diffé*  ronc	PERRROT75.txt
Texier	Exister	eux qui se seraient al-  puys sur le dessin de M. Texierr. Malgré la diffé*  ronce des armes (l'arc et la 	PERRROT75.txt
diffé	diffa	 al-  puys sur le dessin de M. Exister. Malgré la diffé*  ronce des armes (l'arc et la lance ne se retrou	PERRROT75.txt
Ghiaour	Giaour	rmes (l'arc et la lance ne se retrouvent  point à Ghiaourkalé ni à Boghaz-keui) (3), il y a  tant de rappor	PERRROT75.txt
Boghaz	Boghead	 lance ne se retrouvent  point à Giaour-kalé ni à Boghazd-keui) (3), il y a  tant de rapports que l'on ne 	PERRROT75.txt
Gbiaour	Giaour	e la figure est  identique à celui des figures de Gbiaourkalé et  de Boghaz-keui; c'est le même bonnet, orn	PERRROT75.txt
Boghaz	Boghead	entique à celui des figures de Giaour-kalé et  de Boghazd-keui; c'est le même bonnet, orné aussi  d une es	PERRROT75.txt
d'uréus	d’urus	i; c'est le même bonnet, orné aussi  d une espèce d'uréus; c'est la garde de l'épée, qui a  même forme et e	PERRROT75.txt
Kiepert	Kipper	est encore plus important, ce qui fait     (1) M. Kiepertparait avoir pris le contour de Tare, qui eist inc	PERRROT75.txt
eist	tise	 Kipper parait avoir pris le contour de Tare, qui eist incomplè-  tement évidé dans sa partie inférieure	PERRROT75.txt
incomplè	incomplète	er parait avoir pris le contour de Tare, qui tise incomplète-  tement évidé dans sa partie inférieure, pour 	PERRROT75.txt
tement	toment	ir pris le contour de Tare, qui tise incomplète-  tement évidé dans sa partie inférieure, pour le contour 	PERRROT75.txt
archéol	archéologue	épaississement sensible du corps.   (2) Explorât, archéologue. de la Galatie., pi. 10, 30-52.   (3) M. Hyde	PERRROT75.txt
Hyde	Hydne	héologue. de la Galatie., pi. 10, 30-52.   (3) M. Hydee Clarke nous fait remarquer que les armes du pseu	PERRROT75.txt
Clarke	Clark	ue. de la Galatie., pi. 10, 30-52.   (3) M. Hydne Clarkenous fait remarquer que les armes du pseudo-Sé-  s	PERRROT75.txt
Sé	Se	Clark nous fait remarquer que les armes du pseudo-Sé-  sostris, comme il rappelle, sont celles-là môme	PERRROT75.txt
sostris	Sésostris	 nous fait remarquer que les armes du pseudo-Se-  sostrisis, comme il rappelle, sont celles-là môme que por	PERRROT75.txt
Nymphi	Nympho	e que  l'on a cru reconnaître dans le monument de Nymphi.     i4 BAS^RBLIEF Dk NTltMl.   etacore sur Tobse	PERRROT75.txt
RBLIEF	RELIEF	econnaître dans le monument de Nympho.     i4 BAS^RBLIEF Dk NTltMl.   etacore sur Tobservatetir qui d quel	PERRROT75.txt
Dk	K	tre dans le monument de Nympho.     i4 BAS^RELIEF DkNTltMl.   etacore sur Tobservatetir qui d quelque 	PERRROT75.txt
NTltMl	Pas de correction trouvée	e dans le monument de Nympho.     i4 BAS^RELIEF K NTltMl.   etacore sur Tobservatetir qui d quelque habitu	PERRROT75.txt
etacore	et acore	monument de Nympho.     i4 BAS^RELIEF K NTltMl.   etacoree sur Tobservatetir qui d quelque habitude  des qu	PERRROT75.txt
Tobservatetir	Observatoire	ympho.     i4 BAS^RELIEF K NTltMl.   et acore sur Tobservatetirqui d quelque habitude  des questions d'art uue im	PERRROT75.txt
uue	hue	toire qui d quelque habitude  des questions d'art uue impression plus profonde,  c'est la ressemblance 	PERRROT75.txt
l'Âsie	l’Asie	 style qui existe entre tous ces bas-  reliefs de l'Âsie-Mineure. Non seulement ils sont  tous ainsi dessi	PERRROT75.txt
aujour	ajour	vec  un modelé si faible qu'il n'en subsiste rien aujour  d'hui, au centre d'une aire, d'une sorte de nich	PERRROT75.txt
d'hui	d’huis	modelé si faible qu'il n'en subsiste rien ajour-  d'huis, au centre d'une aire, d'une sorte de niche,  cr	PERRROT75.txt
maitre	mètre	nies d'interprétation qui supposent un art très-  maitrede lui-même, très-sûr de lui et des moyens  qu'il 	PERRROT75.txt
BA	ba	ur se sent encore inhabile à imiter le modèle     BA9-RSLIEF DE NYMPHI. 15   SOUS tous ses aspects et 	PERRROT75.txt
NYMPHI	NYMPHO	ore inhabile à imiter le modèle     ba9-RSLIEF DE NYMPHI. 15   SOUS tous ses aspects et dans la succession	PERRROT75.txt
yétu	yéti	ibles ; il figure donc toujours le  corps posé et yétu de même ; et, quels que soient  les défauts de ce	PERRROT75.txt
indéfi	in défi	es  ne dépassent point la période où l'art répète indéfii-  niment cette sorte de type abstrait, signe plu	PERRROT75.txt
niment	minent	assent point la période où l'art répète in défi-  niment cette sorte de type abstrait, signe plutôt  que c	PERRROT75.txt
Egypte	Égypte	fère à tous égards  de celle qui avait prévalu en Egypte ; elle a bien  plus de rapports avec celle où s'é	PERRROT75.txt
assyro	Assyrie	'il est difficile de fixer avec précision,  l'art assyroe-babylonien.   On s'est appuyé, pour confirmer l'	PERRROT75.txt
yptienne	aptienne	r confirmer l'assertion  d'Hérodote et l'origine ^yptienne du bas-relief,  sur le prétendu cartouche hiérogl	PERRROT75.txt
recon	recoin	onstaté,  que les égyptologues ont déclaré ne pas reconn-  naître dans les signes qu'on leur présentait u	PERRROT75.txt
d'hiéroglyphes	hiéroglyphes	 dans les signes qu'on leur présentait un  groupe d'hiéroglyphesisible. Notre photographie  prouve d'ailleurs que 	PERRROT75.txt
RELI	RELU	 que présentent ces signes. D'après le     46 BAS-RELI£F DE NYMPfil.   dessin de M. Texier, ils seraient	PERRROT75.txt
NYMPfil	Nymphale	ntent ces signes. D'après le     46 BAS-RELU£F DE NYMPfile.   dessin de M. Texier, ils seraient aussi visib	PERRROT75.txt
Texier	Exister	 le     46 BAS-RELU£F DE Nymphale.   dessin de M. Texierr, ils seraient aussi visibles,  aussi bien conser	PERRROT75.txt
tinguent	tanguent	ce ; or, tandis que ces deux accessoires se dis-  tinguent aisément et paraissent ressortir sur le  fond, on	PERRROT75.txt
cer	ver	présentant de plus vives arêtes (1). Le seul fait cer-  tain, c'est l'existence en cet endroit d'un gro	PERRROT75.txt
Torigine	Origine	gnes ; or, cette disposition est loin de prouver  Torigineégyptienne. Nous avons trouvé à Boghaz-  keui, dev	PERRROT75.txt
Boghaz	Boghead	 prouver  Origine égyptienne. Nous avons trouvé à Boghazd-  keui, devant des ôgures où ne se retrouve cert	PERRROT75.txt
keui	keum	Origine égyptienne. Nous avons trouvé à Boghead-  keui, devant des ôgures où ne se retrouve certes  aucu	PERRROT75.txt
ôgures	augures	e. Nous avons trouvé à Boghead-  keum, devant des ôguress où ne se retrouve certes  aucun souvenir, aucune	PERRROT75.txt
l'Egypte	l’Égypte	rouve certes  aucun souvenir, aucune imitation de l'Egypte, des  groupes de symboles auxquels on aurait pu p	PERRROT75.txt
Nymphi	Nympho	n aurait pu prêter  tout aussi bien qu'à celui de Nymphi le caractère  d'un groupe d'hiéroglyphes ; tantôt	PERRROT75.txt
d'hiéroglyphes	hiéroglyphes	en qu'à celui de Nympho le caractère  d'un groupe d'hiéroglyphes tantôt ils sont isolés  dans le champ où se détac	PERRROT75.txt
suget	auget	 qui affecte     (1) Voici ce que nous écrit à ce suget M. Hyde Ckrke, qui a visité  plusieurs fois le mo	PERRROT75.txt
Hyde	Hydne	cte     (1) Voici ce que nous écrit à ce auget M. Hydee Ckrke, qui a visité  plusieurs fois le monument 	PERRROT75.txt
Ckrke	Cracker	  (1) Voici ce que nous écrit à ce auget M. Hydne Ckrkeer, qui a visité  plusieurs fois le monument avec 	PERRROT75.txt
monu	mon	ceux qui, dans ces derniers temps, ont examiné le monu  ment, sont d'avis qu'il n'y a point là d'hiérogl	PERRROT75.txt
d'hiéroglyphes	hiéroglyphes	é le mon-  ment, sont d'avis qu'il n'y a point là d'hiéroglypheset qu'il n'y  en a jamais eu ; il y a des emblèmes	PERRROT75.txt
l'Egypte	l’Égypte	une simulation du cartouche, ni rien qui rappelle l'Egypte. »  M. Waddington, qui a vu, lui aussi, le monume	PERRROT75.txt
Waddington	Washington	u cartouche, ni rien qui rappelle l’Égypte. »  M. Waddington, qui a vu, lui aussi, le monument, est tout à lai	PERRROT75.txt
ii	i	nt, est tout à lait du  même avis.     r:.. l;l,:.iii' ■ ],\il'.,'-M     JUS-RELIEF DE NTMPU. 17   la 	PERRROT75.txt
NTMPU	EMPRUNT	  r:.. l;l,:.i i' ■ ],\il'.,'-M     JUS-RELIEF DE NTMPUNT. 17   la forme d'une ëdicule (1). Quelques vari	PERRROT75.txt
ëdicule	édicule	-M     JUS-RELIEF DE EMPRUNT. 17   la forme d'une ëdicule (1). Quelques variëtës que  l'oD puisse d'ailleur	PERRROT75.txt
variëtës	variétés	MPRUNT. 17   la forme d'une édicule (1). Quelques variëtës que  l'oD puisse d'ailleurs relever dans la maniè	PERRROT75.txt
l'oD	l’os	a forme d'une édicule (1). Quelques variétés que  l'oD puisse d'ailleurs relever dans la manière dont  s	PERRROT75.txt
l'Egypte	l’Égypte	t les hiéroglyphes  dans l'écriture hiératique de l'Egypte ne nous au-  torise aucunement à parler d'influen	PERRROT75.txt
torise	tories	ns l'écriture hiératique de l’Égypte ne nous au-  torise aucunement à parler d'influence ou d'imita-  tion	PERRROT75.txt
d'imita	s’imita	us au-  tories aucunement à parler d'influence ou d'imita-  tion de l'Egypte, encore bien moins à attribuer	PERRROT75.txt
tion	fion	ries aucunement à parler d'influence ou s’imita-  tion de l'Egypte, encore bien moins à attribuer à  des	PERRROT75.txt
l'Egypte	l’Égypte	unement à parler d'influence ou s’imita-  fion de l'Egypte, encore bien moins à attribuer à  des artistes ég	PERRROT75.txt
Ptérie	Pétrie	 était, nous le voyons par les  bas-reliefs de la Ptérie, dans les habitudes des  rudes sculpteurs qui nou	PERRROT75.txt
pénin	pénien	étranges  monuments des vieilles monarchies de la péninn-  sule (2).   Avant de quitter le monument de Ny	PERRROT75.txt
sule	sue	 monuments des vieilles monarchies de la pénien-  sule(2).   Avant de quitter le monument de Nymphi, fai	PERRROT75.txt
Nymphi	Nympho	nien-  sue (2).   Avant de quitter le monument de Nymphi, faisons  une dernière remarque. Hérodote parle d	PERRROT75.txt
Smyme	Abymes	 il dit, dont l'un  se trouverait sur la route de Smymes à Sardes, et     (1) Voir Exploration archéologi	PERRROT75.txt
mieax	mieux	e de la Galatie, pi. 44, 45, 47,  48, 50. Dans le mieax conserré des bas-reliefis assyriens du Nahrrel-  	PERRROT75.txt
conserré	conservé	a Galatie, pi. 44, 45, 47,  48, 50. Dans le mieux conserré des bas-reliefis assyriens du Nahrrel-  Kelb (F d	PERRROT75.txt
reliefis	reliefs	, 45, 47,  48, 50. Dans le mieux conservé des bas-reliefisassyriens du Nahrrel-  Kelb (F de la planche des M	PERRROT75.txt
Nahrrel	Naturel	ns le mieux conservé des bas-reliefs assyriens du Nahrrel-  Kelb (F de la planche des Monumenti inediti) pl	PERRROT75.txt
Kelb	Kelp	x conservé des bas-reliefs assyriens du Naturel-  Kelb (F de la planche des Monumenti inediti) plusieurs	PERRROT75.txt
Monumenti	Monument	 assyriens du Naturel-  Kelp (F de la planche des Monumentiinediti) plusieurs emblèmes  sont riéunis, dans le	PERRROT75.txt
inediti	indigotine	s du Naturel-  Kelp (F de la planche des Monument ineditiine) plusieurs emblèmes  sont riéunis, dans le cha	PERRROT75.txt
riéunis	réunis	des Monument indigotine) plusieurs emblèmes  sont riéunis dans le champ, devant la tête de la figure.   (2)	PERRROT75.txt
Nymphi	Nympho	es emblèmes ou signes gravés devant la figure de  Nymphi et les moins ef&cés des signes qui forment un gra	PERRROT75.txt
ef	et	s gravés devant la figure de  Nympho et les moins ef&cés des signes qui forment un grand tableau,  com	PERRROT75.txt
Pterium	Criterium	eurs longues lignes parallèles, sur un rocher de  Pteriumum (Exploration archéologique de la Galatie, pi. 3	PERRROT75.txt
toii	toi	 cette comparaison les  photographies originales, toii^'i^^ ^^ P^^ P^^ nettes que la reproduc-  tion lit	PERRROT75.txt
reproduc	reproduire	es originales, toi^^'i^^ ^^ P^^ P^^ nettes que la reproducre-  tion litho-photographique, et plus susceptibl	PERRROT75.txt
tion	fion	, toi^^'i^^ ^^ P^^ P^^ nettes que la reproduire-  tion litho-photographique, et plus susceptibles d'être	PERRROT75.txt
étQdiée	étudiée	litho-photographique, et plus susceptibles d'être étQdiée9 à la loupe.   2     18 BAS-RELIEF DE IfYlIFHI.  	PERRROT75.txt
IfYlIFHI	Chylifère	tre étudiée9 à la loupe.   2     18 BAS-RELIEF DE IfYlIFHIe.   Fautre sur celle d^Épbèse à Phocée. On a géné	PERRROT75.txt
Fautre	Faure	à la loupe.   2     18 BAS-RELIEF DE Chylifère.   Fautresur celle d^Épbèse à Phocée. On a généra-  lement 	PERRROT75.txt
Épbèse	Éphèse	  18 BAS-RELIEF DE Chylifère.   Faure sur celle d^Épbèse à Phocée. On a généra-  lement r^ardé le guerrier	PERRROT75.txt
Phocée	Chopée	RELIEF DE Chylifère.   Faure sur celle d^Éphèse à Phocée. On a généra-  lement r^ardé le guerrier de Nymph	PERRROT75.txt
lement	liment	 Faure sur celle d^Éphèse à Chopée. On a généra-  lement r^ardé le guerrier de Nymphi comme  représentant 	PERRROT75.txt
Nymphi	Nympho	hopée. On a généra-  liment r^ardé le guerrier de Nymphi comme  représentant le prétendu Sésostris de la r	PERRROT75.txt
Kiepert	Kipper	 Il  suffira de jeter les yeux sur la carte de M. Kiepert pour douter que le monument dit de Nympbi soit  s	PERRROT75.txt
Nympbi	Nymphe	 de M. Kipper  pour douter que le monument dit de Nympbi soit  sur la route de Smyme à Sardes, et, comme n	PERRROT75.txt
Smyme	Abymes	e le monument dit de Nymphe soit  sur la route de Smymes à Sardes, et, comme nous  en avertit M. François	PERRROT75.txt
Lenormant	Le normant	 à Sardes, et, comme nous  en avertit M. François Lenormantt, qui a visité le  prétendu Sésostris, cette impr	PERRROT75.txt
Smyme	Abymes	t  qu'on parcourt ce canton. La route moderne de  Smymes aux ruines de Sardes, qui ne peut s'écarter  sen	PERRROT75.txt
Nif	If	siblement de l'ancienne route, suit la vallée du  NifTchaif qui est dirigée de l'est à l'ouest. Le bas-	PERRROT75.txt
Karabéli	Karatéka	e heure de cette route,  dans le ravin latéral de Karabéli. Ce ravin est  dirigé du sud au nord, et le bas-r	PERRROT75.txt
goi	goï	est visible  que quand on s'est engagé dans cette goi*ge, où  coule un petit affluent du Nif, et qu'on 	PERRROT75.txt
Nif	If	dans cette goï*ge, où  coule un petit affluent du Nif et qu'on l'a remonté  jusqu'à une certaine hauteu	PERRROT75.txt
Smyme	Abymes	jusqu'à une certaine hauteur. Jamais la route de  Smymes à Sardes n'a pu pénétrer dans celte gorge,  et i	PERRROT75.txt
RELIBP	GRELIBRE	ourquoi l'antique conquérant, quel qu'il     1IA&-RELIBPRE ÙE mmpHi. 19   soit, aurait ëté cacher ce monum	PERRROT75.txt
ÙE	UE	'antique conquérant, quel qu'il     1IA&-GRELIBRE ÙE mmpHi. 19   soit, aurait ëté cacher ce monument d	PERRROT75.txt
mmpHi	amphi	tique conquérant, quel qu'il     1IA&-GRELIBRE UE mmpHi. 19   soit, aurait ëté cacher ce monument de son 	PERRROT75.txt
ëté	été	'il     1IA&-GRELIBRE UE amphi. 19   soit, aurait ëté cacher ce monument de son passage  et de ses expl	PERRROT75.txt
d'Éphëse	d’Éphèse	plique si Ton  admet que c'était la route directe d'Éphëse à  Phocée qui traversait la goi^e de Karabéli. Qu	PERRROT75.txt
Phocée	Chopée	n  admet que c'était la route directe d’Éphèse à  Phocée qui traversait la goi^e de Karabéli. Que l'on  re	PERRROT75.txt
goi	goï	oute directe d’Éphèse à  Chopée qui traversait la goi^e de Karabéli. Que l'on  regarde l'excellente car	PERRROT75.txt
Karabéli	Karatéka	cte d’Éphèse à  Chopée qui traversait la goï^e de Karabéli. Que l'on  regarde l'excellente carte à laquelle 	PERRROT75.txt
géogira	géographe	jours  renvoyer pour tout ce qui se rapporte à la géogirahe*  phie de l'Asie-Mineure, et l'on se convaincra	PERRROT75.txt
phie	fie	yer pour tout ce qui se rapporte à la géographe*  phiede l'Asie-Mineure, et l'on se convaincra que  cett	PERRROT75.txt
d'Ëphèse	d’Éphèse	e-Mineure, et l'on se convaincra que  cette route d'Ëphèse à Phocée a dû passer par un  des ravins qui sont 	PERRROT75.txt
Phocée	Chopée	et l'on se convaincra que  cette route d’Éphèse à Phocée a dû passer par un  des ravins qui sont parallèle	PERRROT75.txt
Karabéli	Karatéka	par un  des ravins qui sont parallèles à celui de Karabéli.  La présence dans celui de Karabéli du guerrier 	PERRROT75.txt
Karabéli	Karatéka	s à celui de Karatéka.  La présence dans celui de Karabéli du guerrier qui  a vu Hérodote nous prouverait qu	PERRROT75.txt
d'Épbëse	Pas de correction trouvée	que de toutes ces  gorges qu'a pu suivre la route d'Épbëse pour venir  couper, en quelque point voisin du bo	PERRROT75.txt
Nymphi	Nympho	uper, en quelque point voisin du bourg actuel de  Nymphi, la route de Smyrne à Sardes, c'est la  gorge de 	PERRROT75.txt
Smyrne	Myrosine	nt voisin du bourg actuel de  Nympho, la route de Smyrnene à Sardes, c'est la  gorge de Karabéli qui avait	PERRROT75.txt
Karabéli	Karatéka	la route de Myrosine à Sardes, c'est la  gorge de Karabéli qui avait été préférée. Il serait  curieux de che	PERRROT75.txt
ves	vés	 de tout ce district, s'il existe encore quelques ves-  tiges de l'ancienne voie, et d'examiner si l'ét	PERRROT75.txt
conflrme	conforme	cienne voie, et d'examiner si l'étude  du terrain conflrme la conjecture que nous a  suggérée notre savant a	PERRROT75.txt
Lenor	Leonora	ue nous a  suggérée notre savant ami^ M. François Lenorra-  mant.   Si l'on conservait quelques doutes su	PERRROT75.txt
mant	man	 suggérée notre savant ami^ M. François Leonora-  mant   Si l'on conservait quelques doutes sur l'origin	PERRROT75.txt
Karabéli	Karatéka	it quelques doutes sur l'origine  de la figure de Karabéli, et que l'on inclinât encore  à l'attribuer à FÉg	PERRROT75.txt
FÉgypte	Égypte	éka, et que l'on inclinât encore  à l'attribuer à FÉgypte on n'aurait, comme contre-  épreuve, qu'à examine	PERRROT75.txt
connaitre	connaître	uve, qu'à examiner les dessins qui nous ont  fait connaitre les monuments, certainement égyp-  tiens, qui, su	PERRROT75.txt
égyp	Égypte	s ont  fait connaître les monuments, certainement égypte-  tiens, qui, sur la côte de Syrie, au Nahr-el-	PERRROT75.txt
Nahr	Nahua	ent Égypte-  tiens, qui, sur la côte de Syrie, au Nahra-el-Kelb  et à Adloun, rappellent les conquêtes e	PERRROT75.txt
Adloun	Louna	qui, sur la côte de Syrie, au Nahua-el-Kelb  et à Adloun rappellent les conquêtes et le passage     20 BAS	PERRROT75.txt
NTHPHl	Plinthe	 les conquêtes et le passage     20 BAS-RELIEF DE NTHPHle.   de Rbaindès(i). On verra combien, dans ces ba	PERRROT75.txt
Rbaindès	Rurbaines	 et le passage     20 BAS-RELIEF DE Plinthe.   de Rbaindèss(i). On verra combien, dans ces bas-  reliefs égy	PERRROT75.txt
TÂsie	Tutsie	ns de Syrie, tout diffère de nos bas-  reliefs de TÂsiee-Mineure. Ce n'est plus ni le même  style, ni les	PERRROT75.txt
Nahr	Nahua	s égyptiens a  aussi un tout autre caractère ; au Nahra-el-Kelb,  au lieu d'une niche grossièrement prat	PERRROT75.txt
