Erreur_détectée	Correction_proposée	Contexte	Fichier
SCENE	SCÈNE	 au Baron^ Ad Lela de JJSDN  'MIL2LXJÊ3STMJLX** ■ SCENE PREMIERE .  LE BARON, M. J È R O M E.   L E B A K	5781000.xml
PREMIERE	PREMIÈRE	ron^ Ad Lela de JJSDN  'MIL2LXJÊ3STMJLX** ■ SCÈNE PREMIERE .  LE BARON, M. J È R O M E.   L E B A K O N.   J	5781000.xml
È	E	2LXJÊ3STMJLX** ■ SCÈNE PREMIÈRE .  LE BARON, M. J È R O M E.   L E B A K O N.   Jérôme, il y a trente	5781000.xml
aujourd	aujourd’hui	nte ans que vous avez   .  ma:  confiance , c’est aujourd’hui’hui que j’ai plus   ;que  jamais besoin de.vo	5781000.xml
enfans	encans	 besoin de.votre zèle. Allez prier ma femme & mes enfans de se rendre ici ; delà vous irez chercher les de	5781000.xml
feulyïl	feuler	e pour mon service, & me les ramènerez. Allez. (  feulyïlm’en  coûte, mais il le faut. Le bonheur de ma fam	5781000.xml
mesjours	mes jours	aut. Le bonheur de ma famille, la tranquillité de mesjourss, mon honneur, tout exige ce sacrifiée.  Jl  est 	5781000.xml
Jl	Jo	mes jours, mon honneur, tout exige ce sacrifiée.  Jl  est cruel de passer tout d’un coup du sein des  	5781000.xml
jjris	Joris	loux de ma gloire… Heureux encore, si je n’ai pas jjris trop tard une résolution nécessaire…. On approche	5781000.xml
coeur	cœur	 affectons à leurs yeux une tranquillité, que mon coeurest bien loin de sentir.  S C E N E I L  L E B A R	5781000.xml
enfans	encans	E CHEVALIER, ADÉLAÏDE.   LE BARON.   A femme, mes enfans, prenez place auprès   de moi. (  Us s’a.ffeyent 	5781000.xml
ffeyent	offensent	s encans, prenez place auprès   de moi. (  Us s’a.ffeyentnt . ) Vous eonnoissez tous la noblesse de notre o	5781000.xml
eonnoissez	moissonnez	ace auprès   de moi. (  Us s’a.offensent . ) Vous eonnoissez tous la noblesse de notre origine & l’ancienneté 	5781000.xml
Àllemagne	Allemagne	e notre origine & l’ancienneté de notre maison. L’Àllemagne en connoit peu d’aussi, illustres. Je crois vous 	5781000.xml
connoit	conçoit	ne & l’ancienneté de notre maison. L’Allemagne en connoit peu d’aussi, illustres. Je crois vous avoir trans	5781000.xml
sentimens	sentiments	s. Je crois vous avoir transmis avec mon sang des sentimenss qui en font dignes. Si quelqu’un de vous osoit j	5781000.xml
osoit	soit	ntiments qui en font dignes. Si quelqu’un de vous osoitjamais !…Mais je fais vousconnoître, & je vous ren	5781000.xml
vousconnoître	reconnaître	. Si quelqu’un de vous soit jamais !…Mais je fais vousconnoître& je vous rends justice ; ainsi je ne vous déguise	5781000.xml
ÍJÏQUS	Pas de correction trouvée	, & les sacrifices que j’attends & que j’exige de ÍJÏQUS, Quand votre ayeul perdit la vie , jë me   DE MAR	5781000.xml
ayeul	aïeul	ue j’attends & que j’exige de ÍJÏQUS, Quand votre ayeul perdit la vie , jë me   DE MARI END AL. |   trouv	5781000.xml
jë	je	xige de ÍJÏQUS, Quand votre aïeul perdit la vie , jë me   DE MARI END AL. |   trouvai héritier de plus	5781000.xml
END	EN	Quand votre aïeul perdit la vie , je me   DE MARI ENDAL. |   trouvai héritier de plusieurs châteaux & d	5781000.xml
terresT	terres T	i héritier de plusieurs châteaux & de beaucoup de terresTT Le,s uns presque ruinés font fur le point de s’é	5781000.xml
dépuis	depuis	s & fastueux. Nos revenus nous suffisent à peine, dépuis, plus de dix ans nos dettes croissent en proporti	5781000.xml
donnòit	donnait	semblé prendre f alarme. Si quelqu’un d’entre eux donnòit le signal, tout seroit perdu ; j’ai voulu éviter 	5781000.xml
seroit	seront	 Si quelqu’un d’entre eux donnait le signal, tout seroit perdu ; j’ai voulu éviter cette catastrophe. II n	5781000.xml
étoit	toit	perdu ; j’ai voulu éviter cette catastrophe. II n’étoitqu’un moyen, c’étoit de diminuer nos dépenses  9  	5781000.xml
étoit	toit	viter cette catastrophe. II n’toit qu’un moyen, c’étoitde diminuer nos dépenses  9  de retrancher notre m	5781000.xml
enfans	encans	 est faite, & j’ai mis ordre à tout.  Ainsi,'mes  enfans, ne soyez pas surpris de ne plus voir paroître ce	5781000.xml
paroître	paraître	mes  encans, ne soyez pas surpris de ne plus voir paroître cette foule de gens oisifs, de ces insatiables pa	5781000.xml
ramppient	rampaient	 de gens oisifs, de ces insatiables parasites qui ramppient assidûment à nos pieds : vous n’aurez plus devant	5781000.xml
fainéans	fainéants	n’aurez plus devant les yeux cette troupe de vils fainéanss qui, nés pour servir les caprices d’un maître, i	5781000.xml
inpndoient	ondoiement	ts qui, nés pour servir les caprices d’un maître, inpndoient notre maison, & y faisoienfi régner la mollesse, 	5781000.xml
faisoienfi	bienfaisante	aprices d’un maître, ondoiement notre maison, & y faisoienfite régner la mollesse, l’intempérance & les mauvai	5781000.xml
moeurs	mœurs	égner la mollesse, l’intempérance & les mauvaises moeurs J’ai donné ordre à M. Jérôme de nous choisir dans	5781000.xml
Aij	Ain	ffiront. Si nous restions à- la ville, ce projet  Aij ,%  A D É L AI DE   seroit impraticable , vous le	5781000.xml
É	E	nous restions à- la ville, ce projet  Ain ,%  A D É L AI DE   seroit impraticable , vous le sentez : 	5781000.xml
seroit	seront	s à- la ville, ce projet  Ain ,%  A D E L AI DE   seroit impraticable , vous le sentez : là il faut souten	5781000.xml
îa	IA	dération •' .qui arrête, on sacrifie tout. Mais à îa campagne, ■' où l’on n’a ni rivaux ni importuns, 	5781000.xml
auísi	aussi	le rang que nous avons quitté. Le terme n’est pas auísi long que vous pourriez, vous l’imaginer. Une gran	5781000.xml
voeux	vœux	 Une grande économie va l’accélérer au gré de nos voeux & j’espère que trois ou quatre années nous suffir	5781000.xml
Touc	Toul	re que trois ou quatre années nous suffiront.   ( Touc le monde garde quelquesinjlans lefilence. Le Baro	5781000.xml
quelquesinjlans	quelques-unes	re années nous suffiront.   ( Toul le monde garde quelquesinjlansefilence. Le Baron, continue, avec douceur.)   Eh 	5781000.xml
lefilence	silence	 suffiront.   ( Toul le monde garde quelques-unes lefilenceLe Baron, continue, avec douceur.)   Eh bien, mes 	5781000.xml
enfans	encans	Le Baron, continue, avec douceur.)   Eh bien, mes enfans ?   A D É L A ï  T)   E.   Mon père, vous devez c	5781000.xml
É	E	nue, avec douceur.)   Eh bien, mes encans ?   A D É L A ï  T)   E.   Mon père, vous devez compter fur	5781000.xml
ï	i	vec douceur.)   Eh bien, mes encans ?   A D E L A ï  T)   E.   Mon père, vous devez compter furTóbéis	5781000.xml
furTóbéissance	désobéissance	D E L A i  T)   E.   Mon père, vous devez compter furTóbéissance  de tous ceux qui ont le bonheur de vous apparten	5781000.xml
penchans	penchas	vous appartenir,   quelques soient nos goûts, nos penchans   .votre voix les fera toujours taire. Mais si vo	5781000.xml
ï	i	e que je vous fasse envisager…   LE C H E v A  L  ï E K. Non, Mademoiselle, les vues de mon père font	5781000.xml
çe	ce	r notre fortune. Vouloir opposer des réflexions, ,çe n’est ni le lieu ni l’instant ; ainsi, fans vous 	5781000.xml
concouriç	concourir	 AL. #.   intérêts nous obligent, songeons tous à concouriç au bien & à la gloire de notre maison.   ADÉLAÏDE	5781000.xml
coeur	cœur	ous, Monsieur, que cette gloire me tienne moins à coeurqu’à vous ?   - L E B A R O N.   J’en fuis persuad	5781000.xml
attendois	attendis	otre fermeté & votre courage,. Chevalier, je n’en attendoispas moins. Plus de fêtes pour vous, mon ami, mais 	5781000.xml
Ilsji	Ils	e me flatte que vous aurez encore des plaisirs. ( Ilsjièvent) . Voilà ce que j’avois’ à vous dire. Croyez	5781000.xml
avois	abois	core des plaisirs. ( Ils lèvent) . Voilà ce que j’avois’ à vous dire. Croyez qu’il . m’en a coûté pour me	5781000.xml
derniere	dernière	 pour me résoudre. Je n’ai pris mon parti qu’à la derniere extrémité, mais enfin il est .' pris, & je ne sou	5781000.xml
souffrirois	souffrirons	ère extrémité, mais enfin il est .' pris, & je ne souffrirois pas les murmures.   LA BARONNE. Vous n’en entendr	5781000.xml
inftans	infants	us entretenir… …. Qu’on nous laisse pour quelques inftans, allez mes enfans, & croyez que je m’occupe de vo	5781000.xml
enfans	encans	u’on nous laisse pour quelques infants, allez mes enfans, & croyez que je m’occupe de votre bonheur.  Aiij	5781000.xml
Aiij	Taiji	cans, & croyez que je m’occupe de votre bonheur.  Aiiji 4  adélaïde  SCENE II L  le baron, la baronne. ^	5781000.xml
adélaïde	Adélaïde	royez que je m’occupe de votre bonheur.  Taiji 4  adélaïde  SCENE II L  le baron, la baronne. ^Pendant la. d	5781000.xml
SCENE	SCÈNE	je m’occupe de votre bonheur.  Taiji 4  Adélaïde  SCENE II L  le baron, la baronne. ^Pendant la. derniere	5781000.xml
derniere	dernière	e  SCÈNE II L  le baron, la baronne. ^Pendant la. derniere Scène la Baronne a témoigné un grand abattement, 	5781000.xml
pouvois	pouvoirs	ns une solitude une famille comme la nôtre ; mais pouvoiss-je . prendre un autre parti ? II eut été bien pl	5781000.xml
enfans	encans	arti ? II eut été bien plus affreux de rendre nos enfans témoins de la chute de notre maison, & cet instan	5781000.xml
étoit	toit	oins de la chute de notre maison, & cet instant n’étoitpas si éloigné que vous pouvez le croire. Si vous 	5781000.xml
oseroient	oseraient	 Madame, quelles sont mes inquiétudes… Mais ils n’oseroient ! & je dois* être tranquille ; mes créanciers s’e	5781000.xml
LEBARON	LE BARON	 N E.   (Quand on perd son bien, on ose tout.  #  LEBARONN. US savent que je suis honnête homme, & ils auro	5781000.xml
auroient	auraient	BARON. US savent que je suis honnête homme, & ils auroient grand tort.,., .   LABARONNE.   Le tort est toujo	5781000.xml
LABARONNE	LA BARONNE	 honnête homme, & ils auraient grand tort.,., .   LABARONNEE.   Le tort est toujours pour ceux qui doivent, B	5781000.xml
poursuivoient	poursuivaient	" & le Chevalier s’est-il arrangé avec ceux qui le poursuivoient, il faut qu’il demande grâce. L ""Ê B A R o N.   C"	5781000.xml
Ê	E	"le poursuivaient, il faut qu’il demande grâce. L ""Ê B A R o N.   Croyez-vous que le Chevalier voulut "	5781000.xml
LABARONNE	LA BARONNE	ue le Chevalier voulut s’abaisser   au point…..   LABARONNEE.   S’abaisser pour témoigner des égards à des ge	5781000.xml
coeur	cœur	à des gens à qui l’on doit tout ? votre fils a le coeurtrop haut, & cette fierté extrême n’est point du t	5781000.xml
connoît	connaît	point du tout de saison.   L E B A R 0 N.   II se connoît, Madame ; plut-à-dieu que le reste de ma famille 	5781000.xml
etì	et	   C’est là la plus cruelle de mes alarmes   Je n etìreviendrai jamais. L’ingrate ! Oser faire choix d’	5781000.xml
Aiv	Ain	un amant, & faire un choix indigne d’elle,  ; , ' Aiv   S. ADÉLAÏDE   de mol, de toute sa famille ; ah 	5781000.xml
seroit	seront	famille ; ah ! qu’elle y renonce. Je sens qu’elle seroit perdue, si elle avoit l’audace de persister dans 	5781000.xml
avoit	avoir	y renonce. Je sens qu’elle seront perdue, si elle avoit l’audace de persister dans son amour. L’honneur d	5781000.xml
seroit	seront	 persister dans son amour. L’honneur de ma maison seroit taire bientôt la tendresse & la nature  a  & je n	5781000.xml
ferois	ferons	 & la nature  a  & je ne réponds pas de ce que je ferois.   LA BARONNE.   Monsieur le Baron, faites-moi la	5781000.xml
dìre	dire	" nos revenus s’éteignent tous les jours ; c’est-à-dìre, queTinutîle ""abonde chez nous, & que nous manquo"	5781000.xml
queTinutîle	quenouillette	"evenus s’éteignent tous les jours ; c’est-à-dire, queTinutîlete ""abonde chez nous, & que nous manquons du néces"	5781000.xml
auffi	suffi	e nous manquons du nécessaire. Combien de maisons auffi respectables , peut-être plus anciennes que la nô	5781000.xml
enrichiílant	enrichissant	es, on à reçu dé l’or : un parti s’est ennobli en enrichiílant l’autre, & tous les deux se sont trouvés à la foi	5781000.xml
Négocians	Négocias	s, nobles & heureux. Le fils d’un des plus riches Négociansde Hollande aime Adélaïde, il . l’a faite demander	5781000.xml
LABARONNE	LA BARONNE	tement.   L E B A R o N. Elle ne l’aura jamais.   LABARONNEE.   Vous savez le parti qui vous a été proposé po	5781000.xml
soeur	sœur	 maison. Votre fille peut épouser le frère , & la soeurépouse votre fils. Vous n’avez qu’à dire un mot, u	5781000.xml
cuisans	cuisants	"ous exposer à des regrets plus justes & bien plus cuisanss,   L fi B A R O N.""*   Quand j’aurois la foibles"	5781000.xml
aurois	audois	"bien plus cuisants,   L fi B A R O N.""*   Quand j’aurois la foiblesse de me mésallier , seroit-ce sur cett"	5781000.xml
foiblesse	faiblesse	"cuisants,   L fi B A R O N.""*   Quand j’audois la foiblesse de me mésallier , seroit-ce sur cette famille que"	5781000.xml
seroit	seront	*   Quand j’audois la faiblesse de me mésallier , seroit-ce sur cette famille que je porterois les yeux ? 	5781000.xml
porterois	porterons	me mésallier , seront-ce sur cette famille que je porterois les yeux ? non , laissons la naissance ; la relig	5781000.xml
mo	mi	RON. N’en parlons plus, Madame, je ne fuis.point  mo  ADÉLAÏDE   d’avis de sacrifier pour ce mariage l	5781000.xml
ëtes	étés	mariage les avantages de douze quartiers, & vous  ëtes  sûre de ne rien obtenir.   LABARONNE.   Et vous 	5781000.xml
LABARONNE	LA BARONNE	artiers, & vous  étés  sûre de ne rien obtenir.   LABARONNEE.   Et vous ferez le malheur de vos enfans.   LE 	5781000.xml
enfans	encans	.   LA BARONNE.   Et vous ferez le malheur de vos enfans.   LE BARON. Je ferai leur gloire.   L A. B A R O	5781000.xml
ï	i	E BARON. Je ferai leur gloire.   L A. B A R O N N ï.   La belle gloire de souffrir !   L E B A R O N.	5781000.xml
coeur	cœur	Monsieur, l’intérêt de ma famille me tient plus à coeurque tout le reste ; puis-je vous voir fans douleur	5781000.xml
tro	tri	cien & illustre, n’en exige que plus de vertus, & tro]j, souvent ne se trouve réuni qu’à de travers & d	5781000.xml
appeller	appeler	e réuni qu’à de travers & des vices ? Pouvez-vous appellernobleffe, cet état douloureux & urgent qui ne subs	5781000.xml
nobleffe	no bleffe	qu’à de travers & des vices ? Pouvez-vous appeler nobleffee, cet état douloureux & urgent qui ne subsiste qu	5781000.xml
ii	i	ent qui ne subsiste que par   DE M A RIE N D A L. ii  des voies bafles & quelquefois injustes ? Je rou	5781000.xml
bafles	baffles	siste que par   DE M A RIE N D A L. i   des voies bafless & quelquefois injustes ? Je rougis de voûs offri	5781000.xml
voûs	vous	ies baffles & quelquefois injustes ? Je rougis de voûs offrir un tableau si affligeant ; mais songez que	5781000.xml
talens	salent	 fur ses biens, qu’il doit à fa vigilance , à ses talens , à lui-même enfin tout ce qu’il poiïede ; Monsie	5781000.xml
poiïede	poivrade	e , à ses salent , à lui-même enfin tout ce qu’il poiïedee ; Monsieur le Baron ! Monsieur le Baron ! je tre	5781000.xml
vòus	vus	i que pour y apporter du remède. Secondez-moi, je vòusen conjure, mais, une fois pour toutes, qu’on ne p	5781000.xml
Frankner	Safraner	fois pour toutes, qu’on ne parle plus de Monsieur Frankner.  S C E N E I V .  LE BARON , LA BARONNE, JÉRÔME,	5781000.xml
FRANKNER	SAFRANER	S C E N E I V .  LE BARON , LA BARONNE, JÉRÔME, ' FRANKNER, DUPUIS.   LÉ BARON  à Jérôme .   v OÏL A donc lè	5781000.xml
DUPUIS	DEPUIS	I V .  LE BARON , LA BARONNE, JÉRÔME, ' SAFRANER, DUPUIS.   LÉ BARON  à Jérôme .   v OÏL A donc lès deux j	5781000.xml
enfans	encans	espère être content d’eux… M, Jérôme appeliez mes enfans. (  Jérôtnesort.)  (A Dupuis.)   Comment vòus nom	5781000.xml
Jérôtnesort	Saint-Jérôme	 content d’eux… M, Jérôme appeliez mes encans. (  Jérôtnesorte.)  (A Dupuis.)   Comment vòus nommez-vous ?   • 	5781000.xml
Dupuis	Depuis	Jérôme appeliez mes encans. (  Saint-Jérôme.)  (A Dupuis.)   Comment vòus nommez-vous ?   • arçf. . A D É 	5781000.xml
vòus	vus	 encans. (  Saint-Jérôme.)  (A Depuis.)   Comment vòusnommez-vous ?   • arçf. . A D É L A IDE ^i   D u  	5781000.xml
arçf	arçon	me.)  (A Depuis.)   Comment vus nommez-vous ?   • arçfn. . A D É L A IDE ^i   D u  p v  ï s. , «    Anto	5781000.xml
É	E	is.)   Comment vus nommez-vous ?   • arçon. . A D É L A IDE ^i   D u  p v  ï s. , «    Antoine. • ' ,	5781000.xml
ï	i	-vous ?   • arçon. . A D E L A IDE ^i   D u  p v  ï s. , «    Antoine. • ' , ' ■   LE BARON  à Frankn	5781000.xml
Frankner	Safraner	p v  i s. , «    Antoine. • ' , ' ■   LE BARON  à Frankner .   Et vous ?   FRANKNER. Dumont.   L E B A R O N	5781000.xml
FRANKNER	SAFRANER	 • ' , ' ■   LE BARON  à Safraner .   Et vous ?   FRANKNER. Dumont.   L E B A R O N.   Mes amis, soyez docil	5781000.xml
Dumont	Dupont	   LE BARON  à Safraner .   Et vous ?   SAFRANER. Dumont.   L E B A R O N.   Mes amis, soyez dociles, prév	5781000.xml
prévenans	prévenants	pont.   L E B A R O N.   Mes amis, soyez dociles, prévenanss & fidèles, je vous ferai un sort qui ne vous lai	5781000.xml
FRANKNER	SAFRANER	 K  LE BARON, LA BARONNE, LE CHEVALIER, ADÉLAÏDE, FRANKNER, .DUPUIS, JÉRÔME.   LE BARON  à Frankner & à Dupu	5781000.xml
DUPUIS	DEPUIS	N, LA BARONNE, LE CHEVALIER, ADÉLAÏDE, SAFRANER, .DUPUIS, JÉRÔME.   LE BARON  à Frankner & à Dupuis .   VO	5781000.xml
Frankner	Safraner	DÉLAÏDE, SAFRANER, .DEPUIS, JÉRÔME.   LE BARON  à Frankner & à Dupuis .   VOILA toute ma famille ; obéiflez-	5781000.xml
Dupuis	Depuis	ANER, .DEPUIS, JÉRÔME.   LE BARON  à Safraner & à Dupuis .   VOILA toute ma famille ; obéiflez-Ieur, respe	5781000.xml
obéiflez	écorniflez	 Safraner & à Depuis .   VOILA toute ma famille ; obéiflezez-Ieur, respectez-les comme moi-même ; c’est pour	5781000.xml
DUPUIS	DEPUIS	êtes ici, tâchez de satisfaire à tout le monde.   DUPUIS.   Nous ferons nos efforts pour cela.   FRANKNER,	5781000.xml
FRANKNER	SAFRANER	   DEPUIS.   Nous ferons nos efforts pour cela.   FRANKNER, Et nous.espérons y réussir.   ADÉLAÏDE  a part .	5781000.xml
Frankner	Safraner	 Elle se retourne  ). C’est lui, c’est lui-même…. Frankner !….  {Elle s’appuie Jur fa mère . ,   LA B A R ON	5781000.xml
Jur	Jura	ui, c’est lui-même…. Safraner !….  {Elle s’appuie Jura fa mère . ,   LA B A R ON NE.   ' Qu’avez-vous, 	5781000.xml
CHE	CE	   ADÉLAÏDE  avec douceur .   Mon frère !  ' , LE CHEV A LIE R.   Moi, votre frère, après votre indigne	5781000.xml
foiblefle	flexible	 A LIE R.   Moi, votre frère, après votre indigne foiblefle ne m appeliez plus de ce nom.   L E B A R o N  av	5781000.xml
Ilssortent	Ils sortent	érôme , retournez à vos occupations. , ; Allez. ( Ilssortentt tous les trois. )   ADÉLAÏDE. Áh ! cette rigueur	5781000.xml
Áh	H	llez. ( Ils sortent tous les trois. )   ADÉLAÏDE. Áh! cette rigueur me fait trembler.   L A B. A R O N	5781000.xml
veuxJes	veuves	mais il  », dit-il, des reproches à vous faire,Je veuxJes  *4 ADÉLAÏDE   croire sondés, recevez-les avec so	5781000.xml
te'ndreste	tendresse	 avec soumission & avec respect. Tâchez par votre te'ndrested’adoucir son caractère & d’émouvoir son amitié…… 	5781000.xml
oeil	œil	onheur.   ADÉLAÏDE ,  après avoir jette un coup-d’oeilfur Frankner . Ma mère ! aimez-moi toujours.  SCEN	5781000.xml
Frankner	Safraner	  ADÉLAÏDE ,  après avoir jette un coup-d’œil fur Frankner . Ma mère ! aimez-moi toujours.  SCENE V h FRANKN	5781000.xml
SCENE	SCÈNE	œil fur Safraner . Ma mère ! aimez-moi toujours.  SCENE V h FRANKNER, DUPUIS.  FRANKNER  après un long si	5781000.xml
FRANKNER	SAFRANER	franer . Ma mère ! aimez-moi toujours.  SCÈNE V h FRANKNER, DUPUIS.  FRANKNER  après un long silence .  J  E	5781000.xml
DUPUIS	DEPUIS	a mère ! aimez-moi toujours.  SCÈNE V h SAFRANER, DUPUIS.  FRANKNER  après un long silence .  J  E frémis 	5781000.xml
FRANKNER	SAFRANER	aimez-moi toujours.  SCÈNE V h SAFRANER, DEPUIS.  FRANKNER  après un long silence .  J  E frémis de l’impres	5781000.xml
chere	cherre	e l’impression que ma présence a faite sur elle , cheree Adélaïde ! mon coeur palpite encore. J’ai cru vo	5781000.xml
coeur	cœur	présence a faite sur elle , cherre Adélaïde ! mon coeurpalpite encore. J’ai cru voir l’instant où j’étois	5781000.xml
étois	toisé	cœur palpite encore. J’ai cru voir l’instant où j’étois découvert, & où j’allois mourir à ses .pieds…. El	5781000.xml
allois	allotis	i cru voir l’instant où j’toisé découvert, & où j’alloiss mourir à ses .pieds…. Elle ne sera . jamais dign	5781000.xml
torcerai	forcerai	e ; mais va, je ferai son bonheur, le tien ; & je torcerai ton ame, incapable peut-être de tendresse & de pi	5781000.xml
ame	âme	je ferai son bonheur, le tien ; & je forcerai ton ame, incapable peut-être de tendresse & de pitié , à 	5781000.xml
reconnoissance	reconnaissance	-être de tendresse & de pitié , à l’estime & à la reconnoissance.   DUPUIS. Si Von étoit instruit de ce qui se pas	5781000.xml
DUPUIS	DEPUIS	 & de pitié , à l’estime & à la reconnaissance.   DUPUIS. Si Von étoit instruit de ce qui se passe > nous 	5781000.xml
Von	On	 , à l’estime & à la reconnaissance.   DEPUIS. Si Vonétoit instruit de ce qui se passe > nous , Courion	5781000.xml
étoit	toit	à l’estime & à la reconnaissance.   DEPUIS. Si On étoitinstruit de ce qui se passe > nous , Courions gran	5781000.xml
JDE	IDE	> nous , Courions grand risque vous & moi.-., '   JDE MARI END AL. '*£   FRANKNER.   Ce n’èst pas ce qu	5781000.xml
END	EN	Courions grand risque vous & moi.-., '   IDE MARI ENDAL. '*£   FRANKNER.   Ce n’èst pas ce qui m’inquie	5781000.xml
FRANKNER	SAFRANER	d risque vous & moi.-., '   IDE MARI EN AL. '*£   FRANKNER.   Ce n’èst pas ce qui m’inquiete , c’est íe fort	5781000.xml
èst	est	oi.-., '   IDE MARI EN AL. '*£   SAFRANER.   Ce n’èst pas ce qui m’inquiete , c’est íe fort d’Adélaïde.	5781000.xml
inquiete	inquiété	RI EN AL. '*£   SAFRANER.   Ce n’est pas ce qui m’inquiete , c’est íe fort d’Adélaïde. Qu’elle est à plaindr	5781000.xml
íe	e	AFRANER.   Ce n’est pas ce qui m’inquiété , c’est íefort d’Adélaïde. Qu’elle est à plaindre ! mais je 	5781000.xml
pr	Pr	 à plaindre ! mais je fuis tranquille, Jérôme est pr.udent, il a déja ressenti mes bienfaits ; & -l’es	5781000.xml
déja	déjà	ais je fuis tranquille, Jérôme est Pr.udent, il a déja ressenti mes bienfaits ; & -l’espérance qu’il son	5781000.xml
momens	moments	voir celle que j’aime. Ah ! mon cher ami, que les momenss que j’ai passés loin d’elle, m’ont paru longs & 	5781000.xml
DUPUIS	DEPUIS	 passés loin d’elle, m’ont paru longs & cruels.   DUPUIS.   Enfin nous y voici ; grâce à notre stratagème 	5781000.xml
FRANKNER	SAFRANER	" exécuter notre projet : oui il faut l’enlever.   FRANKNER.   Eh ! qui pourroit y mettre ""obstacle ? De quel"	5781000.xml
pourroit	pourrit	"t : oui il faut l’enlever.   SAFRANER.   Eh ! qui pourroity mettre ""obstacle ? De quel droit me disputeroit-"	5781000.xml
disputeroit	disputeront	"qui pourrit y mettre ""obstacle ? De quel droit me disputeroit-on un bien qui m’appartient par les loix , par l’"	5781000.xml
loix	poix	e disputeront-on un bien qui m’appartient par les loix , par l’honneur , par 1 amour ?   DUPUIS.   Mais,	5781000.xml
DUPUIS	DEPUIS	nt par les poix , par l’honneur , par 1 amour ?   DUPUIS.   Mais, Monsieur, pourquoi ne pas déclarer votre	5781000.xml
parens	pares	riage ? quel motif plus pressant peut engager ses parensà le ratifier ?   F R A N K N .E R.   Je tremble d	5781000.xml
çonnoisiois	siennoises	e tremble de leur dévoiler mon ;secret. Si tu les çonnoisiois les barbares ! ils sont capable ?  96 . ADELAIDE 	5781000.xml
ADELAIDE	BADELAIRE	ennoises, les barbares ! ils sont capable ?  96 . ADELAIDEE  t  de sacrifier leur fille à leur ressentiment,	5781000.xml
DUPUIS	DEPUIS	la naissance peut les porter à tous les crimes.   DUPUIS. .   Un père est toujours père.   FRANKNER.   Mon	5781000.xml
FRANKNER	SAFRANER	rimes.   DEPUIS. .   Un père est toujours père.   FRANKNER.   Mon ami ! ce qui devroit peut-être ranimermon 	5781000.xml
devroit	devront	est toujours père.   SAFRANER.   Mon ami ! ce qui devroit peut-être ranimermon espérance, accroît mon déses	5781000.xml
ranimermon	ranimer mon	   SAFRANER.   Mon ami ! ce qui devront peut-être ranimermonn espérance, accroît mon désespoir. Quand ce père,	5781000.xml
FRANKNER	SAFRANER	 mais la raison les ramènera ; vous l’obtiendrez. FRANKNER. ,   Cet espoir m’amene ici, & j’y perdrai la vie	5781000.xml
amene	amené	a ; vous l’obtiendrez. SAFRANER. ,   Cet espoir m’amene ici, & j’y perdrai la vie, ou j’assurerai son bon	5781000.xml
DUPUIS	DEPUIS	j’y perdrai la vie, ou j’assurerai son bonheur.   DUPUIS. Songez à vous faire violence, un geste, un mot, 	5781000.xml
